Station,Lat,Long,Town,River,High Level,Color
Brown Mill,51.171609,0.799508,Hothfield,Great Stour,1.65,"rgba(255, 0, 0)"
Beerwall Upstream,51.079805,-2.869413,Othery,Sowy,4.155,"rgba(255, 0, 0)"
Gillingham Le Neubourg Way,51.037252,-2.278768,Gillingham,River Stour,1.05,"rgba(255, 0, 0)"
Cliff Bridge,54.986798,-2.920411,Kirklinton,Lyne,2.4,"rgba(255, 0, 0)"
Beddington Park,51.373583,-0.138986,Beddington,Wandle,1.4,"rgba(255, 0, 0)"
Boynton,54.093099,-0.263772,Boynton,River Gypsey Race,0.6,"rgba(255, 194, 0)"
Cricklade,51.646694,-1.865536,Cricklade,Thames,1.083,"rgba(255, 0, 0)"
Allington Marina,51.291026,0.511282,Sandling,Medway,0.5,"rgba(255, 194, 0)"
Sheffield Oakbrook Road,53.367798,-1.521432,Sheffield,Porter Brook,0.3,"rgba(0, 204, 0)"
West Drayton,51.500923,-0.482762,West Drayton,Colne,0.9,"rgba(255, 0, 0)"
Bampton Grange,54.555577,-2.743431,Bampton Grange,River Lowther,0.906,"rgba(255, 0, 0)"
Arlesey,52.026751,-0.266941,Arlesey,River Hiz,0.261,"rgba(0, 204, 0)"
Hovingham,54.173347,-0.984145,Hovingham,Hovingham Beck,0.45,"rgba(0, 204, 0)"
Wigan,53.54925,-2.625999,Wigan,Douglas,1.35,"rgba(255, 0, 0)"
Bures Bridge,51.972195,0.774544,Bures,River Stour,1.43,"rgba(255, 0, 0)"
Rose in Vale,50.311991,-5.166154,Mithian,Perrancombe Stream,1.2,"rgba(255, 0, 0)"
Bruton Dam,51.116056,-2.430837,Bruton,River Brue,1.89,"rgba(255, 0, 0)"
Halsewater,51.021033,-3.132608,Bishops Hull,Halsewater,1.4,"rgba(255, 0, 0)"
Coldgate Mill,55.517539,-2.005254,North Middleton,Wooler Water,1.2,"rgba(255, 0, 0)"
Shelburne Road,51.891766,-2.103713,Cheltenham,Hatherley Brook,0.49,"rgba(0, 204, 0)"
Davis Road,53.411889,-3.088778,Moreton,Birket,1.188,"rgba(255, 0, 0)"
Hampstead Suburb,51.584844,-0.180888,Finchley,Mutton Brook,1.891,"rgba(255, 0, 0)"
Crowhurst,50.878052,0.500069,Crowhurst,Cuckmere,5.6,"rgba(255, 0, 0)"
Kegworth,52.831898,-1.273539,Kegworth,River Soar,1.006,"rgba(255, 0, 0)"
Brigsley,53.496174,-0.11262,Brigsley,Waithe Beck,0.6,"rgba(255, 194, 0)"
Bourn Brook,52.192643,-0.064443,Bourn,Bourn Brook,0.496,"rgba(0, 204, 0)"
Low Briery,54.608017,-3.107571,Keswick,Greta,1.6,"rgba(255, 0, 0)"
Bidford on Avon,52.164097,-1.857348,Bidford on Avon,River Avon,2.6,"rgba(255, 0, 0)"
Godstow Lock,51.776669,-1.298428,Wytham,Thames,0.171,"rgba(0, 204, 0)"
Upwey Culvert,50.665978,-2.480781,Upwey,Wey,0.26,"rgba(0, 204, 0)"
Swallowfield,51.377564,-0.952526,Swallowfield,River Blackwater,0.95,"rgba(255, 0, 0)"
Alston,54.812531,-2.443415,Alston,River South Tyne,1.9,"rgba(255, 0, 0)"
"Cheshunt, Trinity Lane",51.691657,-0.027263,Waltham Cross,Theobalds Brook,0.9,"rgba(255, 0, 0)"
Mytham Bridge,53.335557,-1.683843,Bamford,River Derwent,3.2,"rgba(255, 0, 0)"
Lincoln Monson Street,53.221702,-0.541127,Boultham,Lincoln Drainage Area,2.96,"rgba(255, 0, 0)"
Bickington,50.539272,-3.702255,Bickington,River Lemon,1,"rgba(255, 0, 0)"
"Northholt, Yeading East",51.548783,-0.397836,Northolt,Yeading Brook East,0.5,"rgba(255, 194, 0)"
De Lank,50.558795,-4.637796,St Breward,De Lank River,0.692,"rgba(255, 194, 0)"
Newnham Bridge,50.939901,-3.907581,Burrington,River Taw,2.5,"rgba(255, 0, 0)"
Thame Bridge,51.753138,-0.982253,Thame,Thame,2.25,"rgba(255, 0, 0)"
Stanley,51.455821,-2.065573,Tytherton Lucas,River Marden,1.104,"rgba(255, 0, 0)"
Wincanton,51.048996,-2.41251,Wincanton,River Cale,1.28,"rgba(255, 0, 0)"
Fiskerton Sluice,53.226658,-0.368683,Stainfield,Witham,0.9,"rgba(255, 0, 0)"
Helston County Bridge,50.100002,-5.279794,Helston,Cober,1.4,"rgba(255, 0, 0)"
Middleton Bridge,55.151643,-1.917583,Middleton,River Wansbeck,1.81,"rgba(255, 0, 0)"
Wennington,54.125115,-2.589971,Wennington,Wenning,0.794,"rgba(255, 194, 0)"
Sheffield Centenary Works,53.351517,-1.484072,Sheffield,River Sheaf,0.64,"rgba(255, 194, 0)"
"Cheshunt, Windmill Lane",51.703222,-0.022505,Cheshunt,Small River Lee,1.8,"rgba(255, 0, 0)"
Tiverton,50.883029,-3.489856,Tiverton,River Exe,2.5,"rgba(255, 0, 0)"
Batley Carlinghow  (up stream),53.71811,-1.638949,North America,Batley Beck,2,"rgba(255, 0, 0)"
Bollington Mill,53.380045,-2.406589,Little Bollington,Bollin,0.714,"rgba(255, 194, 0)"
Northallerton,54.338848,-1.442218,Northallerton,Willow Beck,1,"rgba(255, 0, 0)"
Radlett,51.682315,-0.315607,Radlett,Radlett Brook,1.1,"rgba(255, 0, 0)"
Grendon Underwood,51.884491,-1.012852,Grendon Underwood,Ray(Oxon),0.939,"rgba(255, 0, 0)"
Lostock Gralam,53.277575,-2.455855,Higher Wincham,Wincham Brook,1.164,"rgba(255, 0, 0)"
Sowerby Bridge Scar Head Road,53.70594,-1.91329,Sowerby Bridge,Ryburn,0.784,"rgba(255, 194, 0)"
Kestrel Drive,51.563545,-1.722961,Wanborough,Dorcan Brook,1.91,"rgba(255, 0, 0)"
Fosdyke Jetty,53.23087,-0.555797,Lincoln,Fosdyke Canal,1.9,"rgba(255, 0, 0)"
Trowlock Island,51.423993,-0.308538,Trowlock Island,Thames,5,"rgba(255, 0, 0)"
Duddon Hall,54.295374,-3.237418,Beckfoot,Duddon,1.45,"rgba(255, 0, 0)"
Aylesford Stream,51.133674,0.880127,Park Farm,Old Mill Stream Tributary  East Stour,1.64,"rgba(255, 0, 0)"
Medbourne,52.537116,-0.824895,Medbourne,Medbourne Brook,0.289,"rgba(0, 204, 0)"
Mytholmroyd,53.73128,-1.983282,Mytholmroyd,River Calder,2.1,"rgba(255, 0, 0)"
Sprouston,55.61121,-2.395446,Sprouston,Tweed,1.63,"rgba(255, 0, 0)"
Bellingham,55.142852,-2.261953,Bellingham,River North Tyne,3,"rgba(255, 0, 0)"
Tidworth Manor Bridge,51.242295,-1.662004,North Tidworth,River Bourne,0.401,"rgba(0, 204, 0)"
Tideford,50.413192,-4.331177,Tideford,River Tiddy,0.503,"rgba(255, 194, 0)"
Torksey,53.293511,-0.750996,Torksey,River Trent,4.65,"rgba(255, 0, 0)"
Drove Lane,51.090021,-1.181212,New Alresford,Alre,0.55,"rgba(255, 194, 0)"
Welney Causeway,52.518826,0.252026,Welney Causeway,River Great Ouse,2.4,"rgba(255, 0, 0)"
Pincock Brow,53.655307,-2.676594,Euxton,Yarrow,1,"rgba(255, 0, 0)"
Walcot,52.706629,-2.60558,Walcot,River Tern,1.3,"rgba(255, 0, 0)"
Eel House Bridge,54.338025,-2.970931,Satterthwaite,Cunsey Beck,0.847,"rgba(255, 0, 0)"
Armscroft Place,51.863183,-2.221361,Gloucester,Wotton Brook,1.5,"rgba(255, 0, 0)"
Bodicote,52.028582,-1.326852,Bodicote,Sor Brook,0.58,"rgba(255, 194, 0)"
Chipping Ongar,51.709101,0.239586,Chipping Ongar,Cripsey Brook,1,"rgba(255, 0, 0)"
Goring Lock,51.523317,-1.141252,Streatley,Thames,0.215,"rgba(0, 204, 0)"
Todmorden Callis Bridge,53.732891,-2.045203,High Green,River Calder,0.308,"rgba(0, 204, 0)"
Smithy Houses,53.019889,-1.425573,Smithy Houses,Bottle Brook,0.47,"rgba(0, 204, 0)"
Northmoor Lock,51.716858,-1.374624,Appleton,Thames,0.376,"rgba(0, 204, 0)"
Sturmer,52.069056,0.474036,Sturmer,Stour Brook,0.98,"rgba(255, 0, 0)"
Little Bytham,52.748345,-0.50217,Little Bytham,West Glen (To Kates Bridge),0.44,"rgba(0, 204, 0)"
Barbrook Bridge,51.213836,-3.841064,Barbrook,West Lyn River,0.8,"rgba(255, 0, 0)"
Silsden,53.923505,-1.933535,Silsden,Silsden Beck,0.107,"rgba(0, 204, 0)"
Stokesley Downstream,54.462673,-1.19921,Stokesley,River Leven,0.898,"rgba(255, 0, 0)"
Semington,51.343988,-2.134327,Semington,Semington Brook,2,"rgba(255, 0, 0)"
Kislingbury,52.231962,-0.97793,Kislingbury,Nene,1.89,"rgba(255, 0, 0)"
Todmorden,53.716861,-2.096931,Todmorden,River Calder,1.14,"rgba(255, 0, 0)"
Lodden Bridge,51.034216,-2.265615,Gillingham,River Lodden,1.82,"rgba(255, 0, 0)"
Whitewater Bridge,53.226502,-1.008036,Ollerton,River Maun,0.8,"rgba(255, 0, 0)"
Mythe Bridge,52.00171,-2.163093,The Mythe,River Severn,2.8,"rgba(255, 0, 0)"
Fleet Weir,53.751469,-1.423682,Woodlesford,River Aire,1.8,"rgba(255, 0, 0)"
Croft Monk End Farm,54.484792,-1.567976,Croft-on-Tees,Clow Beck,1.61,"rgba(255, 0, 0)"
Oxford Rd,53.78552,-2.234141,Burnley,River Calder,1.2,"rgba(255, 0, 0)"
Whaddon,52.101809,-0.017376,Whaddon,Whaddon Brook,0.457,"rgba(0, 204, 0)"
