Station,Lat,Long,Town,River,Water Level
Waggon Road,53.514723,-2.038394,Mossley,Tame,1.031
Bramshill,51.32671,-0.917374,Hazeley,Hart,0.403
River Jordan,52.473218,-0.911988,Little Bowden,Jordan,0.122
Westmill Bridge,51.616448,-1.666745,Watchfield,Cole,0.463
Clyse Hole,51.136761,-2.724464,Glastonbury,River Brue,0.336
Inglesham,51.670899,-1.700313,Upper Inglesham,Cole,0.219
Westbrook Mill,51.188851,-0.617671,Godalming,Wey,2.029
Buckingham,51.998052,-0.992004,Buckingham,River Great Ouse,0.243
Knottingley Lock,53.709907,-1.22578,Knottingley,River Aire,1.689
Arle,51.91358,-2.100884,Cheltenham,Chelt,0.52
Sheepmount,54.90486,-2.952852,Carlisle,Eden,2.257
Blackhall Mill,54.905964,-1.812313,Blackhall Mill,River Derwent,0.244
Littlewood Bridge,53.670881,-2.762213,Croston,Lostock,0.944
Southwell,53.077901,-0.934277,Southwell,River Greet,0.221
Three Mile House,52.626317,1.699909,West End,River Bure,0.785
Southam,52.260974,-1.408027,Bascote,River Itchen,0.297
Shrewbridge,53.061892,-2.526064,Nantwich,Weaver,0.787
Rowlands Gill,54.917259,-1.73922,Rowlands Gill,River Derwent,0.302
Cassington Weir B,51.786053,-1.351198,Cassington,Evenlode,0.417
Shalford,51.938949,0.502982,Shalford,River Pant,0.685
Harbertonford,50.391073,-3.701021,Harbertonford,River Harbourne,-0.002
Medbourne Flood Storage Reservoir,52.546177,-0.832027,Blaston,Medbourne Brook,0.446
Felsted,51.847313,0.423072,Felsted,River Chelmer,0.22
Middlehill,51.418046,-2.268627,Ashley,By Brook,0.405
Houghton,52.330674,-0.120798,Houghton,River Great Ouse,0.173
Iford Bridge,50.740946,-1.806054,Pokesdown,River Stour,0.533
Kennford,50.667557,-3.538622,Kennford,RHB Trib River Kenn,0.073
Studley,52.274092,-1.88959,Studley,River Arrow,0.718
Callerton Lane,55.049407,-1.741713,Ponteland,River Pont,0.307
Bishops Hull,51.019081,-3.133644,Bishops Hull,River Tone,0.199
Culmstock,50.915853,-3.279962,Culmstock,River Culm,0.203
Haw Bridge,51.948918,-2.227065,Apperley,River Severn,2.13
Batley Savile Street,53.699596,-1.630383,Castleton,Batley Beck,0.345
Poyle,51.477287,-0.51406,Poyle,Poyle Channel,1.583
Barton Mills Sluice,52.335121,0.531859,Barton Mills,Lark,0.169
Kirkstall Abbey,53.819613,-1.605025,Kirkstall,River Aire,1.793
Isfield weir,50.951995,0.074349,Little Horsted,Uck,0.848
Alconbury Weston,52.377001,-0.269421,Alconbury Weston,Alconbury Brook,0.445
Little Bridge,53.684084,-2.331538,Helmshore,Ogden Brook,0.308
Pangbourne,51.484688,-1.087539,Pangbourne,Pang,0.19
Halesowen,52.462884,-2.061427,Halesowen,River Stour,0.742
Sheepbridge,53.268853,-1.437687,Sheepbridge,River Whitting,0.304
Woolsthorpe,52.899642,-0.758767,Woolsthorpe by Belvoir,River Devon,0.691
Cross Hills,53.902947,-1.969516,Cross Hills,Eastburn Beck,0.528
Wilmington,50.795699,-3.111486,Wilmington,Umborne Brook,0.298
Brighouse,53.701444,-1.793955,Brighouse,River Calder,0.364
Greta Bridge,54.603631,-3.142486,Keswick,River Greta,1.635
Kings Mill,51.756247,-1.238765,Oxford,Cherwell,1.856
Milnshaw,53.755632,-2.367683,Accrington,River Calder,0.332
Wightwick,52.582389,-2.192192,Wightwick,Smestow Brook,0.49
"Edgware, Deans Brook",51.617793,-0.26653,Edgware,Deans Brook,0.801
Ramsbury Main,51.443821,-1.584692,Whittonditch,Aldbourne,
Alscot Park,52.153735,-1.697245,Atherstone On Stour,River Stour (Warks),0.439
Field Court Drive,51.819013,-2.28698,Quedgeley,Dimore Brook,0.049
Causey Bridge,53.425318,-2.62207,Dallam,Sankey Brook,0.876
Upper Elmers End,51.391876,-0.03662,Eden Park,St James Stream,0.435
Knapp Mill,50.748085,-1.780015,Burton,River Avon,0.371
Polesworth,52.627897,-1.613026,Polesworth,River Anker,0.331
Newbiggin Bridge,54.853151,-2.881322,Carleton,Petteril,0.971
Stockton Hartburn Bridge,54.54999,-1.365536,Hartburn,Hartburn Beck,0.639
Ermington,50.363074,-3.911208,Ermington,River Erme,0.491
Hougham,52.986895,-0.680145,Hougham,Witham,0.87
Swaton,52.922105,-0.319165,Swaton,South Forty Foot,0.323
Polperro,50.33114,-4.52005,Polperro,Pol River,0.151
Gurnard,50.755479,-1.333222,Gurnard,Medina,0.398
Lode,52.242159,0.240538,Lode,Quy Water,0.256
Calder Hall,54.426631,-3.489083,Calder Bridge,River Calder,0.352
Gribbleford Bridge,50.793303,-4.090425,Hatherleigh,River Lew,0.585
Wellow,51.320458,-2.373786,Wellow,Wellow Brook,0.826
Marshfield Bridge,53.092995,-2.488097,Wistaston Green,Valley Brook,0.354
Crondall Pond,51.232867,-0.864146,Crondall,Hart,0.38
Harpers Brook,52.408276,-0.556349,Lowick,Harpers Brook,0.226
Sindlesham Mill,51.426522,-0.898188,Sindlesham,Loddon,0.342
Diglis,52.179799,-2.225461,Worcester,River Severn,1.045
Waterhall,51.773132,-0.117522,Birch Green,Lee,0.209
Taplow,51.529307,-0.697199,Taplow,Jubilee River,1.651
Ely,52.399868,0.289328,Ely,River Great Ouse,0.53
Exford,51.132851,-3.640854,Exford,River Exe,0.515
Wellesbourne,52.197687,-1.602579,Wellesbourne,River Dene,0.212
Haversham,52.073044,-0.805148,Haversham,River Great Ouse,0.68
Relubbus,50.13744,-5.406959,Relubbus,River Hayle,0.326
Coalburn Beck,55.093478,-2.481463,Butterburn,Coal Burn,0.34
Park Bridge,54.408693,-2.177133,West Stonesdale,River Swale,0.537
Rowsham Bridge,51.850671,-0.772585,Rowsham,Thame,0.203
Broomstairs Bridge,53.454585,-2.095579,Haughton Green,Tame,0.642
Combe Martin Bowling Green Lane,51.198942,-4.025648,Combe Martin,River Umber,0.149
Redbourn  River Ver,51.794792,-0.393076,Redbourn,Ver,-0.133
Churchill Avenue,51.808843,-0.823619,Aylesbury,Southcourt Brook,0.737
Corpusty,52.830878,1.126258,Corpusty,River Bure,0.159
Marefield,52.675277,-0.888192,Twyford,Gaddesby Brook,1.031
Flint Mill,53.920115,-1.358935,Wetherby,River Wharfe,1.131
Louth,53.37106,0.008655,Keddington,Lud,0.162
Holwell,51.203198,-2.389554,Nunney,Nunney Brook,0.91
Worsham,51.793689,-1.564378,Charterville Allotments,Windrush,0.537
Snainton Ings,54.202353,-0.566177,Brompton,Brompton Beck,0.122
Sheering Hall,51.792981,0.16688,Churchgate Street,Pincey Brook,0.177
Dotton,50.688326,-3.294258,Colaton Raleigh,River Otter,0.316
Blyth,53.377166,-1.053244,Blyth,River Ryton,0.703
Mordiford,52.026391,-2.629867,Mordiford,Wye,2.67
Sicklesmere,52.212963,0.746693,Sicklesmere,Lark,0.391
Swill Bridge,51.177714,-3.305414,Doniford,Doniford Stream,0.295
Wearhead,54.753822,-2.225251,Wearhead,Killhope Burn,0.235
Bourne End Wye,51.571155,-0.708557,Bourne End,Wye,0.162
Mexborough Lock,53.495204,-1.244769,Mexborough,River Don,1.05
Burpham,51.264494,-0.544883,Burpham,Merrow Common Stream,0.884
Setchey Bridge,52.694217,0.419367,West Winch,Nar,0.432
Grafton Lock,51.690894,-1.607898,Eaton Hastings,Thames,0.101
Chandler's Ford,50.983422,-1.382474,Chandler's Ford,Monks Brook,
Bastreet,50.560822,-4.480182,Trebartha,Withy Brook,0.432
Sharnbrook,52.219934,-0.521475,Sharnbrook,River Great Ouse,0.433
Bewdley,52.383563,-2.322438,Bewdley,River Severn,2.016
Tallington,52.656869,-0.382584,Tallington,Welland (Stamford - Peakirk),0.449
Stapleford,52.141965,0.148004,Stapleford,River Granta,0.142
Three Bridges,51.116941,-0.162605,Three Bridges,Gatwick Stream,0.857
Went Bridge,53.650296,-1.262804,Went Bridge,River Went,0.614
Wilton,51.076368,-1.862567,Wilton,River Nadder,0.201
Glenridding Steamer Pier,54.554175,-2.944347,Glenridding,Lake Ullswater,1.368
Gisburn,53.942277,-2.272495,Gisburn,Ribble,0.599
Denby,50.479642,-4.795638,Denby,River Camel,0.807
Holmbridge,53.556892,-1.819474,"Pickering, Ings Bridge",River Holme,0.408
Quixhill,52.976338,-1.86056,Denstone,River Churnet,0.568
Allington Lock,51.295161,0.507204,Sandling,Medway,0.182
Low Moor,54.488525,-1.439612,Low Dinsdale,River Tees,1.072
Malton,54.133301,-0.795495,Malton,River Derwent,1.779
Bramley,51.206896,-0.57032,Shalford,Cranleigh Waters,2.548
Wye,51.184588,0.930529,Wye,Great Stour,0.326
Wandle Park Main Channel,51.419659,-0.18127,Merton,Wandle,0.42
Eastbury,51.490876,-1.500149,Eastbury,Lambourn,
Newnham Bridge,52.32,-2.523849,Newnham Bridge,River Rea (Teme),0.959
Turvey,52.160107,-0.63018,Turvey,River Great Ouse,0.328
South Creake,52.884248,0.770921,South Creake,River Burn,0.091
Idless Dam,50.284843,-5.057324,Idless,River Allen (downstream),0.186
"Uxbridge, Fountains Mill",51.549497,-0.482704,Uxbridge,Frays,0.672
Fosters Bridge,52.616269,-0.582013,South Luffenham,Chater,0.287
Passenham,52.049192,-0.852318,Stony Stratford,River Great Ouse,2.07
Mytholmroyd Dauber Bridge,53.722779,-1.989756,Mytholmroyd,Cragg Brook,0.312
Birkin Holme Washlands,53.731594,-1.147332,Broomfleet Weighton Lock,River Aire,0.775
Colsterworth,52.810944,-0.623165,Woolsthorpe-By-Colsterworth,Witham,0.189
Stisted,51.888352,0.603806,Stisted,River Blackwater,0.238
Holymoorside,53.219025,-1.493093,Holymoorside,River Hipper,0.156
Prestbury Road,51.907359,-2.061419,Cheltenham,Wymans Brook,0.022
Great Musgrave Bridge,54.512818,-2.364477,Great Musgrave,Eden,0.539
Eaton Socon,52.21309,-0.281653,Eaton Socon,River Great Ouse,0.053
Gosforth,55.017771,-1.614378,Gosforth,Ouse Burn,0.582
Littlethorpe,52.571268,-1.201273,Littlethorpe,River Soar,0.888
Sonning Lock,51.473138,-0.917727,Sonning,Thames,0.184
Edmonton Green,51.626104,-0.060318,Edmonton,Salmon Brook,0.354
Hooke,50.796871,-2.656876,Hooke,River Hooke,0.197
Sunderland Bridge,54.734468,-1.589972,Sunderland Bridge,River Wear,0.672
Powerstock,50.761735,-2.688328,Powerstock,Mangerton Brook,0.094
Hadlow,51.222555,0.334684,Hadlow,Bourne Tributary  Medway,0.751
Boscastle County Bridge,50.68979,-4.692972,Boscastle,River Valency,0.461
Catterall,53.866048,-2.811986,St Michael's On Wyre,Wyre,-1.319
Team Valley,54.92056,-1.612265,Lamesley,River Team,0.276
Carnwood,50.431671,-4.083069,Bickleigh,River Plym,0.514
Moorhouse,54.695931,-2.376978,Moorhouse,Trout Beck,0.233
Rocester,52.95455,-1.833986,Rocester,River Dove,0.578
Umberleigh,50.99542,-3.985089,Umberleigh,River Taw,0.743
Wilmslow,53.330096,-2.227133,Wilmslow,Bollin,0.498
Catterick Bridge,54.388672,-1.653481,Catterick Bridge,River Swale,0.857
Locks Weir,54.084353,-2.280457,Stackhouse,Ribble,0.388
Dauntsey,51.536448,-2.004702,Dauntsey,Dauntsey Brook,0.314
Sedgeberrow,52.04668,-1.963362,Sedgeberrow,River Isbourne,0.429
Loxley Rowell Bridge,53.401832,-1.547627,Loxley,River Loxley,0.118
Southwaite Bridge,54.640395,-3.34813,Cockermouth,Cocker,0.899
Pocklington,53.933016,-0.774873,Hessle,Pocklington Beck,0.049
Milton on Stour,51.053771,-2.289853,Milton On Stour,River Stour,
"Hillingdon, Gutteridge Wood",51.547719,-0.420185,Hillingdon,Yeading Brook West,0.802
Cowbridge,53.007414,-0.020733,Cowbridge,Maud Foster/Stonebridge Drain,0.52
Eckington Sluice,52.062065,-2.124922,Eckington,River Avon,2.176
Uplyme,50.735862,-2.955096,Uplyme,Lim,0.022
"Steamer Pier, Pooley Bridge",54.610449,-2.82694,"Steamer Pier, Pooley Bridge",Lake Ullswater,2.149
Tiverton Lowman,50.904593,-3.479351,Tiverton,River Lowman,
ALFOLDEAN GS,51.086792,-0.406225,Horsham,Arun,-20.223
Newark Weir,51.307409,-0.510113,Newark,Wey,20.5
Watson Terrace,54.667281,-2.757052,"Townhead, Penrith",Thacka Beck,0.292
"Station Road, Wigton",54.827452,-3.162746,Wigton,Wiza Beck,0.443
Brandy Wharf,53.460884,-0.474196,Brandy Wharf,Ancholme,0.005
Wootton Fitzpaine,50.749836,-2.903287,Wootton Fitzpaine,Gwyle,0.337
Brinkworth Brook,51.546208,-1.944367,Royal Wootton Bassett,Brinkworth Brook,0.761
Loverley Farm,50.876605,-1.99157,Moor Crichel,River Allen,0.67
Chew Magna Level,51.36697,-2.621881,Chew Magna,Winford Brook,0.154
Bardney,53.213749,-0.345212,Bardney,Witham,0.644
Sheffield Sheaf Screen,53.373959,-1.463059,Missing Data,River Sheaf,0.292
Apperley Bridge,53.837637,-1.706351,Missing Data,River Aire,0.715
Malinbridge,53.40368,-1.495054,Missing Data,River Loxley,0.52
Rother Valley Lake,53.33017,-1.322509,Missing Data,Rother Washlands,0.278
Hexham,54.976253,-2.095184,Hexham,River Tyne,31.842
Eddys Bridge,54.851887,-1.937552,Muddleswick,Derwent (Northumbria),0.328
West Holme Washlands,53.721659,-1.209849,Missing Data,Aire Washlands,0.38
Oxenhope,53.808702,-1.948901,Missing Data,Bridgehouse Beck,0.088
Girton,52.243719,0.07758,Girton,Washpit Brook,0.844
Oakington,52.255096,0.055885,Oakington,Beck Brook,0.184
Wardropers,51.644879,0.396505,Billericay,River Wid,0.382
Middlesbrough Ormesby Hall,54.544678,-1.19878,Middlesbrough,Ormesby Beck,0.068
Upwey,50.665744,-2.480878,Upwey,River Wey,0.228
Ruskington Beck,53.048222,-0.396166,Ruskington,Ruskington Beck,0.252
Tickton PS,53.86754,-0.367529,Tickton PS,Holderness drain,-1.751
Whitbarrow Close,54.33056,-2.721958,Kendal,Stock Beck,0.082
Egypt Mill,51.697359,-2.175147,Nailsworth,River Frome,0.432
Pawston,55.593513,-2.232993,Pawston,Bowmont Water,0.424
Hempholme PS,53.929542,-0.334541,Hempholme PS,Roam Drain,-0.259
Hessle Western Drain,53.734403,-0.435579,Hessle Western Drain,Fleet Drain,-0.043
Norlands Lane FD,51.410875,-0.515797,Norlands Lane FD,Meadlake Ditch,0.515
Marsh Road Sluice,52.799742,-0.132532,Spalding,Welland Below Peakirk,1.395
Eastbury Flood Control Structure,51.497183,-1.511619,Eastbury,Lambourn,0.996
Buckfastleigh,50.482427,-3.783081,Buckfasteligh,River Mardle,0.199
Tiverton Parkway,50.918719,-3.35971,Tiverton Parkway,Spratford Stream,0.284
Easton,51.088829,-1.2729,Easton,Itchen,0.579
Newtown Linford,52.683384,-1.230147,Newtown Linford,River Lin,1.028
Crabble Mill,51.140192,1.287219,Dover,River Dour,0.18
Birstall Smithies,53.727802,-1.661253,Missing Data,Batley Beck,0.064
Black Bull Road,51.085655,1.177662,Folkestone,Pent Stream,0.097
Bondend Road,51.834606,-2.193371,Gloucester,Twyver,0.292
Hucclecote,51.857643,-2.180344,Gloucester,Horsbere Brook,0.193
Sandhurst Horn's Ditch,51.888033,-2.253216,Maisemore,River Severn,0.566
Cheyney Close,51.848593,-2.220433,Gloucester,Sud Brook,0.07
India Road,51.856617,-2.227456,Gloucester,Twyver,0.209
Puxton,52.394519,-2.253581,Kidderminster,River Stour (Worcs),1.414
Brearley,53.729568,-1.961304,Missing Data,River Calder,0.626
Chesterfield Ashgate,53.242734,-1.453673,Missing Data,River Holme,0.076
Hensall Ings,53.709879,-1.081836,Missing Data,Wheelan Dyke,-0.541
Chesterfield St Augustines,53.225424,-1.425584,Missing Data,River Rother,0.27
Keighley Dalton Lane,53.869559,-1.894095,Missing Data,River Worth,0.061
Wrenthorpe,53.691537,-1.517695,Missing Data,Balne Beck,0.511
Whiston Brook,53.407069,-1.319287,Missing Data,Whiston Brook,0.106
Topham Ferry Bridge,53.649282,-1.06356,Missing Data,River Went,1.08
Tumbling Bay Weir DS,51.809124,-0.023037,Ware,Amwell Loop,30.369
Shipley,53.833276,-1.771688,Missing Data,Bradford Beck,0.282
Littlestock Brook (Temporary),51.865237,-1.618104,Milton-Under-Wychwood,Evenlode,0.097
