Station,Lat,Long,Town,River,Water Level
Stamford Bridge,53.991789,-0.916086,Tan Hall,River Derwent,7.076
Little Ouse,52.453082,0.545246,Lakenheath,Little Ouse,1.789
Whitwick,52.739499,-1.353725,Whitwick,Grace Dieu Brook,0.355
Crew Green,52.735739,-2.994315,Crewgreen,River Severn,3.907
Moorend Road,51.883138,-2.061691,Cheltenham,Lilley Brook,0.385
Gosshill Road,51.403702,0.060218,Bickley,Kyd Brook,0.537
Howe Bridge,54.174308,-0.762132,Wykeham,River Rye,2.113
Chapel Hill,53.070452,-0.196967,Chapel Hill,Witham,0.557
Princes Marsh,51.037463,-0.89988,Princes Marsh,Arun,0.368
Colliers Land Bridge,51.150722,0.174763,Fordcombe,Medway,2.057
Fairmile,50.767191,-3.29459,Fairmile,River Tale,0.328
Pillings Lock,52.758541,-1.164067,Barrow Upon Soar,River Soar,1.118
Tibberton,52.781029,-2.474812,Tibberton,River Meese,0.289
Furneux Pelham,51.930418,0.086394,Furneux Pelham,Ash (Hertfordshire),0.308
Burford Bridge,52.311774,-2.625404,Burford,Ledwyche Brook,0.864
Houghton Le Spring,54.842382,-1.487058,Houghton Le Spring,Moors Burn,0.177
Naburn Lock,53.89327,-1.097619,Naburn,River Ouse,1.754
Kilnhurst Bridge,53.472151,-1.296778,Kilnhurst,River Don,0.385
Chollerford,55.029637,-2.127318,Chollerford,River North Tyne,0.56
Hackbridge,51.377064,-0.160112,Hackbridge,Wandle,1.152
Cornwood,50.417855,-3.959444,Cornwood,River Yealm,0.27
Rothley,52.7031,-1.142483,Rothley,Rothley Brook,0.339
Whetstone,51.623491,-0.185411,Totteridge,Dollis Brook,0.409
Holbeam Dam Downstream,50.533259,-3.657787,Newton Abbot,River Lemon,0.355
Bishops Avenue,51.401378,0.028483,Bromley,Ravensbourne,0.537
Marham,52.678061,0.547924,Marham,Nar,0.219
Drakelow,52.780647,-1.647106,Branston,River Trent,1.57
Lapford,50.857808,-3.810592,Lapford,River Yeo,0.593
Slad Road,51.747599,-2.214291,Stroud,Slad Brook,0.121
Low Street,52.612011,1.01713,Thuxton,River Yare,1.425
Molesey Lock,51.406476,-0.349558,East Molesey,Thames,0.198
Little Puddle,50.767098,-2.400751,Piddlehinton,River Piddle,0.145
Ampney St Peter,51.710647,-1.889951,Ampney St Peter,Ampney Brook,0.315
Collard Bridge,51.099972,-4.010005,Goodleigh,River Yeo,0.548
Mountnessing,51.648181,0.346098,Mountnessing,River Wid,0.523
Huntingford Bridge,51.067397,-2.26953,Huntingford,Shreen Water,0.342
Snaygill,53.940697,-2.021283,Ravenshaw,River Aire,2.121
Hellifield,54.006777,-2.221986,Hellifield,Hellifield Beck,0.303
Mevagissey,50.272818,-4.791471,Mevagissey,Mevagissey Stream,0.174
Wheatley,51.740637,-1.115198,Wheatley,Thame,4.193
Ingworth,52.819304,1.251666,Ingworth,River Bure,0.321
Skelton,53.991515,-1.135153,Nether Poppleton,River Ouse,2.716
Newby Bridge,54.268069,-2.974952,Newby Bridge,River Leven,1.376
High River Keer,54.140607,-2.731323,Capernwray,Keer,0.325
Cowley Bridge,50.759747,-3.559651,Cowley,River Creedy,0.359
Wakefield Grasmere Road,53.686013,-1.529962,Wakefield,Alverthorpe Beck,0.109
Loe Pool,50.08362,-5.291203,Helston,River Cober,3.738
Braunton Butts Bridge,51.111292,-4.161795,Braunton,River Caen,0.767
Sheepwash Bridge,50.851679,0.522713,Sheepwash Bridge,Cuckmere & Pevensey Levels,1.121
Huish Episcopi PS,51.031669,-2.798991,Huish Episcopi,River Yeo,1.418
High Ongar,51.713888,0.259177,High Ongar,Roding,0.219
Waren Ford,55.550443,-1.784723,Warenford,Waren Burn,0.122
Miller Bridge House,54.429259,-2.970683,Miller Bridge,River Rothay,0.89
Abbeymead Avenue,51.840929,-2.202237,Gloucester,Twyver,0.143
Wansford,52.584341,-0.404444,Wansford,Nene (Wollaston-Wansford),0.363
Bekesbourne,51.258144,1.145929,Bekesbourne,Nail Bourne Tributary Little Stour,0.724
Teston,51.250834,0.447181,West Farleigh,Medway,0.837
Hawley Road,51.315486,-0.764535,Cove,Cove Brook,
Thetford Coffee Mill Sluice,52.415589,0.734272,Thetford,Little Ouse,0.629
Redbridge,51.576239,0.040575,Wanstead,Roding,0.489
St Johns Lock,51.68931,-1.678796,Lechlade On Thames,Thames,0.099
Framlingham,52.230723,1.344041,Brabling Green,River Ore,0.128
Ludlow Teme,52.36409,-2.706474,Ludlow,River Teme,1.801
Stanhope,54.745941,-2.026369,Stanhope,River Wear,0.624
Low Moor,53.872754,-2.414398,Low Moor,Ribble,1.268
Greystone Bridge,50.60014,-4.3068,Felldownhead,River Tamar,0.484
Old Woking FWS,51.302063,-0.543308,Old Woking,Wey,2.512
Bampton,51.72466,-1.54887,Bampton,Shill Brook,0.875
Laceby,53.546656,-0.159656,Laceby,Laceby Beck,0.174
Ousden,52.206315,0.520869,Ousden,Kennett,0.66
Queen's Mill,53.638515,-1.7867,Huddersfield,River Holme,0.702
Ifield,51.11607,-0.222649,Ifield,Ifield Brook,1.175
Ashton Weir,53.438308,-2.344072,Urmston,Mersey,1.007
Veraby,51.025705,-3.749635,Bishop's Nympton,River Yeo,0.561
Solihull Lodge,52.397668,-1.853805,Major's Green,River Cole,0.305
Frome,51.242286,-2.327797,Frome,Somerset Frome,0.129
Huntington,53.981457,-1.067671,Huntington,River Foss,1.014
Wendlebury,51.874246,-1.18499,Wendlebury,Wendlebury Brook,1.016
Baltmoor Wall,51.05693,-2.949032,East Lyng,Little Saltmoor Rhyne,
Ewell,51.355767,-0.255182,Ewell,Hogsmill,0.171
Three Elms,52.069153,-2.743532,Three Elms,Yazor Brook,0.167
Guildford Street,51.389272,-0.506291,Chertsey,Chertsey Bourne,0.617
Bracebridge,53.202079,-0.553771,Boultham,Witham,0.437
Bainbridge,54.311836,-2.102939,Bainbridge,River Ure,0.66
Millbourne Bridge,51.349005,-0.602519,Chobham,Mill Bourne,1.029
Broken Scar,54.517925,-1.601411,Low Coniscliffe,River Tees,1.057
Winterborne Monkton,51.450901,-1.859793,Winterbourne Monkton,Kennet,0.125
Liversedge Halifax Road,53.70985,-1.690136,Liversedge,Lands Beck,-0.001
North Cheam,51.374843,-0.208335,North Cheam,Pyl Brook,0.979
Bagnor,51.422436,-1.350461,Bagnor,Winterbourne Stream,0.095
"Hertford, Hartham Park",51.801234,-0.079759,Hertford,Beane,0.176
Tregony,50.266031,-4.918599,Tregony,River Fal,0.683
East Farleigh Gate Upstream,51.254622,0.485076,East Farleigh,Medway,1.337
Taunton Market,51.020017,-3.100618,Taunton Market,River Tone,0.957
Honiton,50.798774,-3.194372,Honiton,The Gissage,0.066
John St Darlington,54.533026,-1.55104,Darlington,River Skerne,0.346
Stanwell Mill,51.466242,-0.501779,Longford,Colne,0.587
Peterchurch,52.041372,-2.955501,Peterchurch,Dore,0.446
Ferrybridge Lock,53.713759,-1.26662,Ferrybridge,River Aire,0.807
Hayes Lane,51.392901,0.019484,Bromley,Ravensbourne,0.032
Halton,53.800865,-1.480337,Leeds,Wyke Beck,0.128
Burstwick Hall Road Bridge,53.739921,-0.144398,Burstwick,Burstwick Drain,0.912
Kings Pond,51.150372,-0.96697,Alton,Wey,0.157
Merestones Road,51.88594,-2.093645,Cheltenham,Hatherley Brook,0.111
